Date : 2025-04-27 13:37:05
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\frontend
Total : 154 files,  16668 codes, 7105 comments, 1971 blanks, all 25744 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\vehicles\add_vehicle_page.dart                       | Dart            |        264 |         20 |         14 |        298 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\welcome.dart                                         | Dart            |          0 |          0 |          1 |          1 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\routes\app_pages.dart                                      | Dart            |         80 |          5 |          5 |         90 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\routes\app_routes.dart                                     | Dart            |         17 |          8 |          2 |         27 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\app_colors.dart                                      | Dart            |         10 |          0 |          2 |         12 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\custom_button.dart                                   | Dart            |         42 |          0 |          5 |         47 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\custom_input.dart                                    | Dart            |         48 |          0 |          4 |         52 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\utils\map_debugger.dart                                    | Dart            |        126 |          4 |          8 |        138 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\widgets\location_map_widget.dart                           | Dart            |          0 |         76 |          3 |         79 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\widgets\pokhara_map_widget.dart                            | Dart            |         71 |          2 |          5 |         78 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\flutter\generated_plugin_registrant.cc                   | C++             |         11 |          4 |          5 |         20 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\flutter\generated_plugin_registrant.h                    | C++             |          5 |          5 |          6 |         16 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\runner\main.cc                                           | C++             |          5 |          0 |          2 |          7 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\runner\my_application.cc                                 | C++             |         83 |         21 |         27 |        131 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\linux\runner\my_application.h                                  | C++             |          7 |          7 |          5 |         19 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Flutter\GeneratedPluginRegistrant.swift                  | Swift           |         24 |          3 |          4 |         31 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\RunnerTests\RunnerTests.swift                            | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\AppDelegate.swift                                 | Swift           |         11 |          0 |          3 |         14 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json  | JSON            |         68 |          0 |          1 |         69 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\Base.lproj\MainMenu.xib                           | XML             |        343 |          0 |          1 |        344 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\macos\Runner\MainFlutterWindow.swift                           | Swift           |         12 |          0 |          4 |         16 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\pubspec.yaml                                                   | YAML            |         44 |         58 |         17 |        119 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\test\widget_test.dart                                          | Dart            |         14 |         10 |          7 |         31 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\web\index.html                                                 | HTML            |         19 |         15 |          5 |         39 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\web\manifest.json                                              | JSON            |         35 |          0 |          1 |         36 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\flutter\generated_plugin_registrant.cc                 | C++             |         18 |          4 |          5 |         27 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\flutter\generated_plugin_registrant.h                  | C++             |          5 |          5 |          6 |         16 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\flutter_window.cpp                              | C++             |         49 |          7 |         16 |         72 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\flutter_window.h                                | C++             |         20 |          5 |          9 |         34 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\main.cpp                                        | C++             |         30 |          4 |         10 |         44 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\resource.h                                      | C++             |          9 |          6 |          2 |         17 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\utils.cpp                                       | C++             |         54 |          2 |         10 |         66 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\utils.h                                         | C++             |          8 |          6 |          6 |         20 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\win32_window.cpp                                | C++             |        210 |         24 |         55 |        289 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\windows\runner\win32_window.h                                  | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                                 |                 |     16,668 |      7,105 |      1,971 |     25,744 |
+-----------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
